Dates,Median Price of Established House Transfers (Unstratified) ;  Sydney ;,Median Price of Established House Transfers (Unstratified) ;  Rest of NSW ;,Median Price of Established House Transfers (Unstratified) ;  Melbourne ;,Median Price of Established House Transfers (Unstratified) ;  Rest of Vic. ;,Median Price of Established House Transfers (Unstratified) ;  Brisbane ;,Median Price of Established House Transfers (Unstratified) ;  Rest of Qld. ;,Median Price of Established House Transfers (Unstratified) ;  Adelaide ;,Median Price of Established House Transfers (Unstratified) ;  Rest of SA ;,Median Price of Established House Transfers (Unstratified) ;  Perth ;,Median Price of Established House Transfers (Unstratified) ;  Rest of WA ;,Median Price of Established House Transfers (Unstratified) ;  Hobart ;,Median Price of Established House Transfers (Unstratified) ;  Rest of Tas. ;,Median Price of Established House Transfers (Unstratified) ;  Darwin ;,Median Price of Established House Transfers (Unstratified) ;  Rest of NT ;,Median Price of Established House Transfers (Unstratified) ;  Canberra ;,Number of Established House Transfers ;  Sydney ;,Number of Established House Transfers ;  Rest of NSW ;,Number of Established House Transfers ;  Melbourne ;,Number of Established House Transfers ;  Rest of Vic. ;,Number of Established House Transfers ;  Brisbane ;,Number of Established House Transfers ;  Rest of Qld. ;,Number of Established House Transfers ;  Adelaide ;,Number of Established House Transfers ;  Rest of SA ;,Number of Established House Transfers ;  Perth ;,Number of Established House Transfers ;  Rest of WA ;,Number of Established House Transfers ;  Hobart ;,Number of Established House Transfers ;  Rest of Tas. ;,Number of Established House Transfers ;  Darwin ;,Number of Established House Transfers ;  Rest of NT ;,Number of Established House Transfers ;  Canberra ;,Mean price of residential dwellings ;  New South Wales ;,Mean price of residential dwellings ;  Victoria ;,Mean price of residential dwellings ;  Queensland ;,Mean price of residential dwellings ;  South Australia ;,Mean price of residential dwellings ;  Western Australia ;,Mean price of residential dwellings ;  Tasmania ;,Mean price of residential dwellings ;  Northern Territory ;,Mean price of residential dwellings ;  Australian Capital Territory ;,Mean price of residential dwellings ;  Australia ;,Number of residential dwellings ;  New South Wales ;,Number of residential dwellings ;  Victoria ;,Number of residential dwellings ;  Queensland ;,Number of residential dwellings ;  South Australia ;,Number of residential dwellings ;  Western Australia ;,Number of residential dwellings ;  Tasmania ;,Number of residential dwellings ;  Northern Territory ;,Number of residential dwellings ;  Australian Capital Territory ;,Number of residential dwellings ;  Australia ;,,,,,,,
14-Mar,680,362,504,290,448,390,407,265,530.5,379,360,247,595,412.5,553.7,13416,10484,12426,5090,9595,9890,4253,1552,8222,1679,935,1307,372,119,982,631.2,544.5,446.4,402.7,586.9,307.1,515.3,563.0,539.3,2908.6,2373.7,1852.1,740.8,985.8,235.3,77.9,154.9,9329.1,,,,,,,
14-Jun,728,368,528.9,286,459,390,405,250,525,366,340,236.3,557.5,420,550,15183,10900,14354,5249,9212,8732,4230,1433,7635,1577,931,1388,452,113,1044,649.9,546.9,451.0,402.9,592.3,307.9,524.4,568.4,547.5,2917.1,2385.2,1859.3,742.7,992.3,235.8,78.7,155.7,9366.8,,,,,,,
14-Sep,730,368.6,505,280,451,390,410,255,530,370,345,262.5,570,439,554,14759,11019,14032,5109,9747,9528,4096,1386,7304,1592,786,1171,414,152,960,666.5,550.9,454.5,402.0,585.5,310.8,501.6,569.9,553.5,2930.5,2399.8,1870.3,745.0,999.0,236.1,79.4,156.2,9416.3,,,,,,,
14-Dec,816,380,552.5,298,467,405,425,275,531,380,356.5,253.5,581,420,570,16311,11864,16407,5323,9365,9246,4502,1442,6864,1530,940,1264,352,141,1216,693.5,566.9,461.0,412.5,588.2,309.9,517.0,582.6,568.7,2944.3,2415.8,1879.5,747.1,1005.7,236.6,80.1,157.9,9467.2,,,,,,,
15-Mar,792.5,390,525,299,462.8,410,415.5,265,536.5,370,360,255,570,430,585,13518,10929,13871,5504,9498,9421,4383,1555,6830,1590,945,1439,306,89,1013,718.2,581.5,461.6,414.4,578.4,312.7,486.8,586.9,579.3,2955.7,2429.0,1889.3,749.0,1011.9,237.1,80.5,158.7,9511.3,,,,,,,
15-Jun,860,395,561,295,465,410.3,420,260,537,355,350,252.5,595,450,580,14472,12124,16787,5577,10231,9420,4489,1411,6336,1398,924,1425,291,64,1071,760.9,606.5,467.9,412.7,576.0,321.2,498.6,591.3,600.1,2968.2,2443.7,1900.7,751.3,1019.7,237.6,80.9,160.0,9562.1,,,,,,,
15-Sep,888.2,410,580,295.6,475,415,427.5,260,520,350,340,257.5,580,455,587.5,15306,12705,16128,5548,10729,9968,4381,1286,5539,1336,885,1403,248,93,1048,788.1,616.5,472.6,418.2,559.6,321.3,522.2,593.6,611.0,2982.8,2459.6,1909.9,753.3,1027.8,238.1,81.3,160.8,9613.6,,,,,,,
15-Dec,915,412,612.3,310,490,420,436,273.5,525,350,370,265,575,412.5,615,13527,12739,16165,5631,9829,8826,4422,1403,5627,1404,960,1430,244,82,1262,781.8,622.8,478.9,421.9,552.1,328.5,483.3,611.8,611.6,2998.5,2476.6,1923.5,755.8,1037.0,238.9,81.8,161.6,9673.7,,,,,,,
16-Mar,850,415,568,311,483.5,425,436,275,518,360.5,360,264,570,472.5,590,10527,10689,11654,5188,9405,8786,4143,1354,5857,1448,925,1423,226,60,883,779.3,625.4,473.7,425.4,542.3,322.3,489.8,595.6,609.3,3010.4,2488.0,1933.0,757.5,1043.3,239.3,82.1,162.2,9715.7,,,,,,,
16-Jun,895,425,610,305,495,425,440,265,520,330,365,253,548,426,623,12638,12279,15066,5561,9625,8869,4226,1381,5969,1469,922,1427,247,60,1060,802.0,634.7,481.7,423.7,531.3,334.1,482.0,611.3,619.5,3028.0,2505.8,1944.6,759.4,1051.5,239.8,82.5,163.0,9774.5,,,,,,,
